geneid,genename
ENSMUSG00000000563,Atp5f1
ENSMUSG00000024097,Srsf7
ENSMUSG00000055302,Mrfap1
ENSMUSG00000048578,Mlec
ENSMUSG00000004099,Dnmt1
ENSMUSG00000059355,Wdr83os
ENSMUSG00000027828,Ssr3
ENSMUSG00000039771,Polr2j
ENSMUSG00000051154,Commd3
ENSMUSG00000040407,Akap9
ENSMUSG00000036461,Elf1
ENSMUSG00000047547,Cltb
ENSMUSG00000032212,Sltm
ENSMUSG00000021417,Eci2
ENSMUSG00000074884,Serf2
ENSMUSG00000058267,Mrps14
ENSMUSG00000032215,Rsl24d1
ENSMUSG00000044162,Tnip3
ENSMUSG00000059734,Ndufs8
ENSMUSG00000024038,Ndufv3
ENSMUSG00000001158,Snrnp27
ENSMUSG00000079547,H2-DMb1
ENSMUSG00000032218,Ccnb2
ENSMUSG00000001482,Def8
ENSMUSG00000039997,Ifi203
ENSMUSG00000002603,Tgfb1
ENSMUSG00000021868,Ppif
ENSMUSG00000021996,Esd
ENSMUSG00000032187,Smarca4
ENSMUSG00000020022,Ndufa12
ENSMUSG00000045160,Bola3
ENSMUSG00000002778,Kdelr1
ENSMUSG00000032366,Tpm1
ENSMUSG00000053838,Nudcd3
ENSMUSG00000006299,Aamp
ENSMUSG00000028180,Zranb2
ENSMUSG00000027108,Ola1
ENSMUSG00000001025,S100a6
ENSMUSG00000027671,Actl6a
ENSMUSG00000027673,Ndufb5
ENSMUSG00000031984,2810004N23Rik
ENSMUSG00000025785,Exosc7
ENSMUSG00000041841,Rpl37
ENSMUSG00000019362,D8Ertd738e
ENSMUSG00000049422,Chchd10
ENSMUSG00000048118,Arid4a
ENSMUSG00000048277,Syngr2
ENSMUSG00000015749,Anp32e
ENSMUSG00000020936,Nmt1
ENSMUSG00000079435,Rpl36a
ENSMUSG00000042737,Dpm3
ENSMUSG00000024921,Smarca2
ENSMUSG00000024925,Rnaseh2c
ENSMUSG00000041629,Fam104a
ENSMUSG00000024817,Uhrf2
ENSMUSG00000096472,Cdkn2d
ENSMUSG00000040269,Mrps28
ENSMUSG00000016503,Gtf3a
ENSMUSG00000000600,Krit1
ENSMUSG00000037601,Nme1
ENSMUSG00000037608,Bclaf1
ENSMUSG00000007891,Ctsd
ENSMUSG00000007892,Rplp1
ENSMUSG00000029203,Ube2k
ENSMUSG00000013593,Ndufs2
ENSMUSG00000091086,Rpl6l
ENSMUSG00000029687,Ezh2
ENSMUSG00000015961,Adss
ENSMUSG00000034120,Srsf2
ENSMUSG00000028821,Syf2
ENSMUSG00000028820,Sfpq
ENSMUSG00000025503,Taldo1
ENSMUSG00000028822,Tmem50a
ENSMUSG00000047459,Dynlrb1
ENSMUSG00000008206,Cers4
ENSMUSG00000029204,Rhoh
